"","Date","Open.","High","Low","Close","Volume","Market.Cap","coin","Open","Close","Delta"
"954",2016-01-04,"430.06",434.52,429.08,"433.09","38,477,500","6,468,179,968","BTC",430.06,433.09,0.0070455285309026
"955",2016-01-03,"433.58",433.74,424.71,"430.01","39,633,800","6,519,499,776","BTC",433.58,430.01,-0.00823377462060056
"956",2016-01-02,"434.62",436.06,431.87,"433.44","30,096,600","6,533,629,952","BTC",434.62,433.44,-0.00271501541576551
"957",2016-01-01,"430.72",436.25,427.52,"434.33","36,278,900","6,473,529,856","BTC",430.72,434.33,0.00838131500742932
"958",2015-12-31,"425.88",432.92,418.73,"430.57","45,996,600","6,399,190,016","BTC",425.88,430.57,0.0110124917817225
"959",2015-12-30,"433.3",434.39,422.08,"426.62","46,889,400","6,508,959,744","BTC",433.3,426.62,-0.0154165705054235
"960",2015-12-29,"422.1",432.98,420.63,"432.98","51,596,500","6,339,010,048","BTC",422.1,432.98,0.0257758824923004
"961",2015-12-28,"423.34",429.77,418.48,"422.28","49,638,600","6,356,100,096","BTC",423.34,422.28,-0.00250389757641613
"962",2015-12-27,"416.51",424.01,408.88,"422.82","53,591,200","6,251,440,128","BTC",416.51,422.82,0.0151496962858035
"963",2015-12-26,"455.76",457.49,405.76,"417.27","116,166,000","6,838,479,872","BTC",455.76,417.27,-0.0844523433385993
"964",2015-12-25,"454.86",458.3,452.08,"455.65","39,078,500","6,823,119,872","BTC",454.86,455.65,0.00173679813569002
"965",2015-12-24,"443.09",458.46,443.08,"454.98","57,157,200","6,645,120,000","BTC",443.09,454.98,0.0268342774605612
"966",2015-12-23,"436.72",444.53,436.62,"442.4","47,161,400","6,547,850,240","BTC",436.72,442.4,0.0130060450631983
"967",2015-12-22,"437.44",443.69,435.52,"436.57","50,840,400","6,556,959,744","BTC",437.44,436.57,-0.00198884418434529
"968",2015-12-21,"442.84",444.73,427.31,"438.64","77,639,696","6,636,279,808","BTC",442.84,438.64,-0.00948423809953931
"969",2015-12-20,"462.23",462.64,434.34,"442.68","75,409,400","6,925,029,888","BTC",462.23,442.68,-0.0422949613828614
"970",2015-12-19,"463.55",465.58,456.77,"462.32","47,892,700","6,942,949,888","BTC",463.55,462.32,-0.00265343544385723
"971",2015-12-18,"455.85",465.18,454.94,"463.62","60,220,100","6,825,639,936","BTC",455.85,463.62,0.0170450806186245
"972",2015-12-17,"454.78",457.86,448.86,"456.08","47,978,400","6,807,849,984","BTC",454.78,456.08,0.00285852500109946
"973",2015-12-16,"465.21",465.21,443.85,"454.93","107,944,000","6,962,089,984","BTC",465.21,454.93,-0.0220975473442101
"974",2015-12-15,"443.88",465.32,443.88,"465.32","83,121,104","6,640,849,920","BTC",443.88,465.32,0.0483013427052356
"975",2015-12-14,"433.27",447.14,430.46,"444.18","130,496,000","6,480,070,144","BTC",433.27,444.18,0.0251806033189467
"976",2015-12-13,"431.66",441.68,426.27,"433.76","55,050,600","6,454,430,208","BTC",431.66,433.76,0.00486493999907327
"977",2015-12-12,"452.33",469.1,410.74,"435","131,969,000","6,761,730,048","BTC",452.33,435,-0.0383127362766122
"978",2015-12-11,"415.28",451.94,415.28,"451.94","110,944,000","6,206,150,144","BTC",415.28,451.94,0.0882777884800617
"979",2015-12-10,"417.99",419.51,411.55,"415.48","52,138,900","6,244,360,192","BTC",417.99,415.48,-0.0060049283475681
"980",2015-12-09,"414.44",423.12,406.29,"417.56","90,917,200","6,189,620,224","BTC",414.44,417.56,0.00752823086574656
"981",2015-12-08,"395.75",415.56,389.95,"415.56","57,801,400","5,908,810,240","BTC",395.75,415.56,0.050056854074542
"982",2015-12-07,"389.98",399.97,385.41,"395.54","63,455,800","5,821,139,968","BTC",389.98,395.54,0.0142571413918663
"983",2015-12-06,"389.55",402.81,387.09,"388.78","77,762,000","5,813,289,984","BTC",389.55,388.78,-0.00197663971248887
"984",2015-12-05,"363.72",389.79,363.23,"388.95","66,282,200","5,426,180,096","BTC",363.72,388.95,0.0693665456944902
"985",2015-12-04,"361.26",363.52,355.76,"363.18","35,784,100","5,388,109,824","BTC",361.26,363.18,0.00531473177213092
"986",2015-12-03,"359.33",370.27,357.41,"361.05","50,714,900","5,358,040,064","BTC",359.33,361.05,0.00478668633289741
"987",2015-12-02,"361.85",362.23,349.46,"359.19","54,160,500","5,394,070,016","BTC",361.85,359.19,-0.00735111233936721
"988",2015-12-01,"377.41",378.93,356.56,"362.49","60,452,200","5,624,580,096","BTC",377.41,362.49,-0.0395326037995814
"989",2015-11-30,"371.44",382.36,370.38,"377.32","71,701,600","5,534,000,128","BTC",371.44,377.32,0.0158302821451648
"990",2015-11-29,"357.47",371.94,355.67,"371.29","40,409,300","5,324,610,048","BTC",357.47,371.29,0.0386605869023974
"991",2015-11-28,"357.14",359.54,352.17,"357.38","36,816,600","5,318,300,160","BTC",357.14,357.38,0.000672005376043034
"992",2015-11-27,"351.86",363.59,347.87,"358.04","55,179,100","5,238,499,840","BTC",351.86,358.04,0.0175638037855966
"993",2015-11-26,"328.3",366.76,328.23,"352.68","106,105,000","4,886,329,856","BTC",328.3,352.68,0.0742613463295766
"994",2015-11-25,"320.05",329.13,316.77,"328.21","41,666,900","4,762,229,760","BTC",320.05,328.21,0.0254960162474612
"995",2015-11-24,"323.01",323.06,318.12,"320.05","29,362,600","4,805,159,936","BTC",323.01,320.05,-0.0091638029782359
"996",2015-11-23,"324.35",325.12,321.29,"323.05","27,478,900","4,823,699,968","BTC",324.35,323.05,-0.00400801603206416
"997",2015-11-22,"326.98",327.01,321.26,"324.54","23,439,400","4,861,340,160","BTC",326.98,324.54,-0.00746223010581686
"998",2015-11-21,"322.09",328.16,319.6,"326.93","28,200,500","4,787,339,776","BTC",322.09,326.93,0.0150268558477445
"999",2015-11-20,"326.41",326.47,312.22,"322.02","53,152,900","4,850,169,856","BTC",326.41,322.02,-0.0134493428510157
"1000",2015-11-19,"334.68",335.33,325.27,"326.15","45,011,100","4,971,879,936","BTC",334.68,326.15,-0.0254870323891479
"1001",2015-11-18,"334.59",336.53,330.64,"334.59","43,783,800","4,969,330,176","BTC",334.59,334.59,0
"1002",2015-11-17,"330.36",338.35,329.61,"335.09","51,001,600","4,905,260,032","BTC",330.36,335.09,0.0143177140089598
"1003",2015-11-16,"319.73",331.63,315.9,"330.75","47,980,100","4,746,070,016","BTC",319.73,330.75,0.0344665811778688
"1004",2015-11-15,"333.05",334.66,317.49,"320.17","44,213,100","4,942,419,968","BTC",333.05,320.17,-0.03867287194115
"1005",2015-11-14,"336.62",338.18,329.97,"332.91","38,612,000","4,994,250,240","BTC",336.62,332.91,-0.0110213296892638
"1006",2015-11-13,"338.5",340.91,326.08,"336.75","52,003,000","5,020,700,160","BTC",338.5,336.75,-0.0051698670605613
"1007",2015-11-12,"314.08",345.08,313.36,"338.15","78,477,800","4,657,240,064","BTC",314.08,338.15,0.0766365257259297
"1008",2015-11-11,"339.82",340.58,301,"311.08","107,070,000","5,037,510,144","BTC",339.82,311.08,-0.0845741863339415
"1009",2015-11-10,"379.98",381.39,329.11,"336.82","95,797,904","5,631,519,744","BTC",379.98,336.82,-0.113584925522396
"1010",2015-11-09,"374.32",385.28,362.89,"380.26","68,224,400","5,546,240,000","BTC",374.32,380.26,0.0158687753793546
"1011",2015-11-08,"384.28",389.89,368.7,"373.37","51,817,600","5,692,389,888","BTC",384.28,373.37,-0.0283907567398771
"1012",2015-11-07,"374.27",390.59,372.43,"386.48","56,625,100","5,542,680,064","BTC",374.27,386.48,0.0326235070938094
"1013",2015-11-06,"388.05",395.84,354.02,"374.47","122,687,000","5,745,319,936","BTC",388.05,374.47,-0.0349954902718721
"1014",2015-11-05,"408.08",447.56,374.58,"386.35","151,824,992","6,040,410,112","BTC",408.08,386.35,-0.0532493628700254
"1015",2015-11-04,"403.66",495.56,380.55,"411.56","263,900,000","5,973,510,144","BTC",403.66,411.56,0.0195709260268542
"1016",2015-11-03,"361.87",417.9,357.65,"403.42","206,162,000","5,353,679,872","BTC",361.87,403.42,0.11482023931246
"1017",2015-11-02,"325.94",365.36,323.21,"361.19","101,918,000","4,820,850,176","BTC",325.94,361.19,0.108148739031724
"1018",2015-11-01,"315.01",327.47,311.88,"325.43","37,001,100","4,657,889,792","BTC",315.01,325.43,0.0330783149741279
"1019",2015-10-31,"328.51",332.78,309.25,"314.17","48,598,100","4,856,410,112","BTC",328.51,314.17,-0.0436516392195062
"1020",2015-10-30,"313.94",334.17,313.94,"328.02","78,305,000","4,639,690,240","BTC",313.94,328.02,0.0448493342676944
"1021",2015-10-29,"304.32",318.17,301.82,"313.86","64,495,900","4,496,390,144","BTC",304.32,313.86,0.0313485804416404
"1022",2015-10-28,"293.7",306.33,293.7,"304.62","50,808,100","4,338,429,952","BTC",293.7,304.62,0.0371807967313586
"1023",2015-10-27,"285.18",296.21,285.01,"293.79","46,331,800","4,211,500,032","BTC",285.18,293.79,0.0301914580265096
"1024",2015-10-26,"283.63",285.3,280.51,"285.3","32,108,800","4,187,409,920","BTC",283.63,285.3,0.00588795261432153
"1025",2015-10-25,"281.45",294.06,281.45,"283.68","45,717,100","4,154,099,968","BTC",281.45,283.68,0.00792325457452485
"1026",2015-10-24,"276.5",281.71,276.5,"281.65","25,942,400","4,080,140,032","BTC",276.5,281.65,0.0186256781193489
"1027",2015-10-23,"273.65",278.68,273.54,"276.5","29,442,500","4,037,009,920","BTC",273.65,276.5,0.0104147633838846
"1028",2015-10-22,"266.5",276.51,266.14,"274.02","37,808,600","3,930,500,096","BTC",266.5,274.02,0.028217636022514
"1029",2015-10-21,"269.31",270.77,263.84,"266.27","25,637,300","3,970,980,096","BTC",269.31,266.27,-0.0112881066429023
"1030",2015-10-20,"263.57",270.83,263.23,"269.46","30,889,800","3,885,570,048","BTC",263.57,269.46,0.0223470045908107
"1031",2015-10-19,"261.86",264.82,260.95,"263.44","25,258,800","3,859,269,888","BTC",261.86,263.44,0.00603375849690668
"1032",2015-10-18,"270.91",271.67,260.78,"261.64","22,434,300","3,991,620,096","BTC",270.91,261.64,-0.0342180059798458
"1033",2015-10-17,"262.75",273.58,262.37,"270.64","43,199,600","3,870,490,112","BTC",262.75,270.64,0.0300285442435775
"1034",2015-10-16,"254.3",266.14,253.93,"262.87","35,901,500","3,745,090,048","BTC",254.3,262.87,0.0337003539127015
"1035",2015-10-15,"252.11",255.96,252.05,"254.32","25,223,500","3,711,800,064","BTC",252.11,254.32,0.00876601483479425
"1036",2015-10-14,"249.49",254.27,248.9,"251.99","27,462,600","3,672,369,920","BTC",249.49,251.99,0.0100204417010702
"1037",2015-10-13,"245.2",250.24,243.76,"249.51","28,198,500","3,608,339,968","BTC",245.2,249.51,0.0175774877650897
"1038",2015-10-12,"246.88",247.45,245.18,"245.31","17,388,300","3,632,110,080","BTC",246.88,245.31,-0.00635936487362279
"1039",2015-10-11,"244.74",247.24,244.15,"247.05","16,827,300","3,599,840,000","BTC",244.74,247.05,0.00943858788918854
"1040",2015-10-10,"243.74",245.32,243.07,"244.94","15,912,700","3,584,120,064","BTC",243.74,244.94,0.00492327890374985
"1041",2015-10-09,"242.5",244.23,242.12,"243.93","17,353,100","3,565,090,048","BTC",242.5,243.93,0.00589690721649487
"1042",2015-10-08,"243.07",244.25,242.18,"242.3","18,515,300","3,572,730,112","BTC",243.07,242.3,-0.00316781174147357
"1043",2015-10-07,"246.17",246.68,242.59,"242.97","22,999,200","3,617,400,064","BTC",246.17,242.97,-0.0129991469309826
"1044",2015-10-06,"240.36",246.93,240.14,"246.06","27,535,100","3,531,229,952","BTC",240.36,246.06,0.0237144283574638
"1045",2015-10-05,"238.15",240.38,237.04,"240.38","23,335,900","3,497,740,032","BTC",238.15,240.38,0.00936384631534743
"1046",2015-10-04,"238.53",238.97,237.94,"238.26","12,999,000","3,502,459,904","BTC",238.53,238.26,-0.00113193309017738
"1047",2015-10-03,"237.2",239.32,236.94,"238.73","16,482,700","3,482,099,968","BTC",237.2,238.73,0.00645025295109613
"1048",2015-10-02,"237.26",238.54,236.6,"237.29","19,677,900","3,482,190,080","BTC",237.26,237.29,0.000126443564022596
"1049",2015-10-01,"236",238.45,235.62,"237.55","20,488,800","3,462,799,872","BTC",236,237.55,0.00656779661016954
"1050",2015-09-30,"236.64",237.73,235.63,"236.06","19,743,500","3,471,280,128","BTC",236.64,236.06,-0.0024509803921568
"1051",2015-09-29,"239.02",239.8,235.93,"236.69","22,691,300","3,505,090,048","BTC",239.02,236.69,-0.00974813823111042
"1052",2015-09-28,"232.84",239.34,232.47,"239.14","24,713,000","3,413,629,952","BTC",232.84,239.14,0.0270572066655213
"1053",2015-09-27,"234.14",234.53,232.48,"232.76","14,179,900","3,431,859,968","BTC",234.14,232.76,-0.00589390962671904
"1054",2015-09-26,"235.08",235.4,233.36,"234.34","13,724,100","3,444,730,112","BTC",235.08,234.34,-0.00314786455674668
"1055",2015-09-25,"234.36",237.43,233.68,"235.14","22,363,600","3,433,299,968","BTC",234.36,235.14,0.00332821300563224
"1056",2015-09-24,"230.36",235.65,230.29,"234.53","25,097,800","3,373,850,112","BTC",230.36,234.53,0.0181021010592116
"1057",2015-09-23,"230.94",231.84,229.59,"230.28","17,254,100","3,381,390,080","BTC",230.94,230.28,-0.0028578851649779
"1058",2015-09-22,"226.97",232.39,225.12,"230.62","25,009,300","3,322,419,968","BTC",226.97,230.62,0.0160814204520421
"1059",2015-09-21,"231.22",231.22,226.52,"227.09","19,678,800","3,383,840,000","BTC",231.22,227.09,-0.0178617766629184
"1060",2015-09-20,"231.4",232.37,230.91,"231.21","14,444,700","3,385,769,984","BTC",231.4,231.21,-0.000821089023336204
"1061",2015-09-19,"232.86",233.21,231.09,"231.49","12,712,600","3,406,390,016","BTC",232.86,231.49,-0.0058833633943142
"1062",2015-09-18,"233.52",234.35,232.18,"232.98","20,242,200","3,415,439,872","BTC",233.52,232.98,-0.00231243576567326
"1063",2015-09-17,"229.08",230.29,228.93,"229.81","18,935,400","3,349,390,080","BTC",229.08,229.81,0.00318665968220704
"1064",2015-09-16,"230.25",231.21,227.4,"229.09","20,144,200","3,365,740,032","BTC",230.25,229.09,-0.00503800217155265
"1065",2015-09-15,"230.49",259.18,229.82,"230.3","19,177,800","3,368,359,936","BTC",230.49,230.3,-0.000824330773569342
"1066",2015-09-14,"230.61",232.44,227.96,"230.64","20,997,800","3,369,189,888","BTC",230.61,230.64,0.000130089761935617
"1067",2015-09-13,"235.24",235.93,229.33,"230.51","18,478,800","3,435,990,016","BTC",235.24,230.51,-0.020107124638667
"1068",2015-09-12,"239.85",240.12,234.75,"235.23","17,962,600","3,502,520,064","BTC",239.85,235.23,-0.0192620387742339
"1069",2015-09-11,"238.33",241.17,238.33,"240.11","19,224,700","3,479,310,080","BTC",238.33,240.11,0.00746863592497798
"1070",2015-09-10,"238.34",241.29,235.79,"238.48","21,215,500","3,478,409,984","BTC",238.34,238.48,0.000587396156750803
"1071",2015-09-09,"243.41",244.42,237.82,"238.17","23,635,700","3,551,640,064","BTC",243.41,238.17,-0.0215274639497145
"1072",2015-09-08,"239.85",245.78,239.68,"243.61","26,879,200","3,498,749,952","BTC",239.85,243.61,0.0156764644569523
"1073",2015-09-07,"239.93",242.11,238.72,"239.85","21,192,200","3,499,120,128","BTC",239.93,239.85,-0.000333430583920362
"1074",2015-09-06,"234.87",242.91,234.68,"239.84","25,473,700","3,424,420,096","BTC",234.87,239.84,0.0211606420573083
"1075",2015-09-05,"230.2",236.14,229.44,"235.02","20,671,400","3,355,470,080","BTC",230.2,235.02,0.0209383145091226
"1076",2015-09-04,"227.21",230.9,227.05,"230.3","20,962,400","3,311,079,936","BTC",227.21,230.3,0.0135997535319748
"1077",2015-09-03,"229.32",229.6,226.67,"227.18","17,482,000","3,340,989,952","BTC",229.32,227.18,-0.00933193790336641
"1078",2015-09-02,"228.03",230.58,226.48,"229.28","18,760,400","3,321,179,904","BTC",228.03,229.28,0.00548173485944832
"1079",2015-09-01,"230.26",231.22,226.86,"228.12","20,575,200","3,352,760,064","BTC",230.26,228.12,-0.00929384174411529
"1080",2015-08-31,"229.11",231.96,225.91,"230.06","20,710,700","3,335,219,968","BTC",229.11,230.06,0.00414647985683728
"1081",2015-08-30,"229.9",232.07,226.25,"228.76","19,412,600","3,345,740,032","BTC",229.9,228.76,-0.00495867768595048
"1082",2015-08-29,"231.55",233.22,227.33,"229.78","17,142,500","3,368,880,128","BTC",231.55,229.78,-0.00764413733534878
"1083",2015-08-28,"224.7",235.22,220.93,"231.4","31,336,600","3,268,369,920","BTC",224.7,231.4,0.0298175344904318
"1084",2015-08-27,"226.05",228.64,223.68,"224.77","21,905,400","3,287,219,968","BTC",226.05,224.77,-0.00566246405662464
"1085",2015-08-26,"222.08",231.18,220.2,"225.83","31,808,000","3,228,539,904","BTC",222.08,225.83,0.0168858069164265
"1086",2015-08-25,"210.07",226.32,199.57,"221.61","61,089,200","3,053,250,048","BTC",210.07,221.61,0.0549340695958491
"1087",2015-08-24,"228.11",228.14,210.44,"210.49","59,220,700","3,314,639,872","BTC",228.11,210.49,-0.0772434351847793
"1088",2015-08-23,"230.38",232.71,225.58,"228.17","18,406,600","3,346,759,936","BTC",230.38,228.17,-0.00959284660126751
"1089",2015-08-22,"232.66",234.96,222.7,"230.39","23,205,900","3,379,049,984","BTC",232.66,230.39,-0.00975672655376949
